segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
2680,"400M SOUTH OF ROAD TO PINCH HILL, 3.7KM SOUTH OF MR52 OVERBRIDGE, GUNNING S/B",HUME HIGHWAY,UPPER LACHLAN,South,HMO North M3Ed3,-32.83165654545454,150.32027598181818,4540329.100890909,9614447.544127272
2683,270M EAST OF NRE COLLIE,WOLLONGONG-PHEASANTS NEST,WOLLONGONG,South,Russell Vale M3Ed2,-34.336522300000006,150.78607863333335,4373285.223883334,9648046.126666667
2684,DERBY ST - MILES ST TEN,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed2,-29.0629926,152.017363,4952444.2288,9789226.3181
2685,MAN ARM CREEK NORTH SB,PACIFIC HIGHWAY,COFFS HARBOUR,North,Mid North Coast M3Ed3,-33.68523378333334,151.15508935,4443750.0965,9686087.286700001
2690,"START 7MM SEAL NEAR OOLONG CREEK, 15.2KM NORTH OF YASS BOUNDARY N/B",HUME HIGHWAY,UPPER LACHLAN,South,HMO North M3Ed3,-34.787875899999996,149.19597756666667,4327446.4843999995,9500849.377166668
2691,CONC NOSE MEDIAN ENTRAN,WOLLONGONG-PHEASANTS NEST,WOLLONGONG,South,Russell Vale M3Ed2,-34.322386550000004,150.76778230000002,4374911.8791000005,9646421.4556
2699,COWPER ST - PELHAM ST TENTERFIELD,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.0407132,152.020461,4954900.4329,9789646.9928
2700,"END CULLARIN DEVIATION, 5.3KM SOUTH OF MR52 OVERBRIDGE, GUNNING S/B",HUME HIGHWAY,UPPER LACHLAN,South,HMO North M3Ed3,-33.91485264000001,149.95954146,4421290.0508,9576208.962380001
2702,450M EAST OF ROAD TO CO,WOLLONGONG-PHEASANTS NEST,WOLLONDILLY,South,Russell Vale M3Ed2,-34.30600586,150.73841066,4376823.4022,9643787.05776
2703,PELHAM ST - WESTERN BDY ST TENTERFIELD,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.03908954,152.00912946,4955133.54696,9788551.31418
2705,MAILMANS TRACK SB,PACIFIC HIGHWAY,BELLINGEN,North,Mid North Coast M3Ed3,-31.186247275,147.260448375,4713526.4118,9329424.126474999
2706,WESTERN BDY ST  TENTERFIELD,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.03084013333333,152.00526953333335,4956066.4508,9788219.003466666
2710,RIVERSTONE,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-33.010483605000005,150.17791758,4521235.32381,9599979.83536
2715,SH 16 TO BONSHAW,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.017698483333334,151.99649593888887,4957564.847688889,9787433.631977778
2720,"300M SOUTH OF OOLONG CREEK, 6.3KM SOUTH OF MR52 OVERBRIDGE, GUNNING S/B",HUME HIGHWAY,UPPER LACHLAN,South,HMO North M3Ed3,-32.49213746,150.466685304,4577635.283716001,9629289.602536
2725,BROWNS CREEK,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.109655007692307,152.05613823846153,4947064.656261539,9792639.908015383
2730,DARYL MCCARTHYS CRUSHER,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-29.546797242857142,151.69673631904763,4899965.236252381,9757049.386604762
2733,CHANGE TO CONCRETE ROAD,WOLLONGONG-PHEASANTS NEST,WOLLONDILLY,South,Russell Vale M3Ed2,-34.2733366,150.7145034,4380520.6126,9641718.1959
2735,SUNNYSIDE ROAD,NEW ENGLAND HIGHWAY,TENTERFIELD,North,New England M3Ed3,-31.77256806666667,151.34765902962963,4654968.567759259,9713217.696381481
